round,institute,program,quota,category,opening_rank,closing_rank
Round 1,UNIVERSITY OF KALYANI,Computer Science & Engineering,Home State,EWS,2898,5083
Round 1,Jis College of Engineering,Computer Science & Engineering,Home State,SC,41942,52826
Round 1,Jld Engineering and Management College,Computer Science & Engineering,All India,Open,61436,90729
Round 1,Mallabhum Institute of Technology,Computer Science & Engineering,All India,Open,31471,110877
Round 1,Gargi Memorial Institute of Technology,Computer Science & Engineering,All India,Open,17473,109955
Round 1,Elitte College of Engineering,Computer Science & Engineering,All India,Open,16504,109531
Round 1,Camellia Institute of Technology & Management,Computer Science & Engineering,All India,Open,21184,110826
Round 1,Bankura Unnayani Institute of Engineering,Computer Science & Engineering,All India,Open,170026,286437
Round 1,Abacus Institute of Engineering & Management,Computer Science & Engineering,Home State,ST,55179,55179
Round 1,Techno Engineering Collge Banipur,Computer Science & Engineering,All India,Open,152402,713197
Round 1,Institute of Science and Technology,Computer Science & Engineering,Home State,OBC - A,78577,94498
Round 1,Abacus Institute of Engineering & Management,Computer Science & Engineering,All India,Open,25984,149276
Round 1,Abacus Institute of Engineering & Management,Computer Science & Engineering,All India,Open,10203,44621
Round 1,Bankura Unnayani Institute of Engineering,Computer Science & Engineering,All India,Open,20019,62758
Round 1,Camellia Institute of Technology & Management,Computer Science & Engineering,All India,Open,510995,774888
Round 1,Durgapur Institute of Advanced Technology & Management,Computer Science & Engineering,Home State,OBC - B,55003,107833
Round 1,Elitte College of Engineering,Computer Science & Engineering,All India,Open,528458,886673
Round 1,Hooghly Engineering & Technology College,Computer Science & Engineering,All India,Open,171487,357546
Round 1,Mallabhum Institute of Technology,Computer Science & Engineering,All India,Open,287637,1065359
Round 1,Sanaka Education Trusts Group of Institutions,Computer Science & Engineering,All India,Open,16659,97253
Round 1,Govt. College of Engineering & Textile Technology,Computer Science & Engineering,Home State,SC,6038,13372
Round 1,Kalyani Goverment Engineering College,Computer Science & Engineering,Home State,SC,1514,5436
Round 1,Murshidabad College of Engineering & Technology,Computer Science & Engineering,Home State,SC,76881,91249
Round 1,Narula Institute of Technology,Computer Science & Engineering,Home State,SC,21779,21918
Round 1,Sanaka Education Trusts Group of Institutions,Computer Science & Engineering,Home State,SC,97977,109595
Round 1,Haldia Institute of Technology,Computer Science & Engineering,Home State,EWS,6984,31374
Round 1,Future Institute of Engineering & Management,Computer Science & Engineering,All India,Open,82879,207926
Round 1,Global Institute of Management and Technology,Computer Science & Engineering,All India,Open,436745,819026
Round 1,Guru Nanak Institute of Technology,Computer Science & Engineering,All India,Open,1166,316744
Round 1,Guru Nanak Institute of Technology,Computer Science & Engineering,Home State,SC,37334,39617
Round 1,Jalpaiguri Goverment Engineering College,Computer Science & Engineering,Home State,EWS,2358,3014
Round 1,Ramkrishna Mahato Government Engineering College,Computer Science & Engineering,Home State,OBC - B,6485,6980
Round 1,Calcutta Institute of Technology,Computer Science & Engineering,Home State,EWS,65768,109336
Round 1,Camellia Institute of Technology,Computer Science & Engineering,All India,Open,898692,1274951
Round 1,College of Engineering and Management,Computer Science & Engineering,All India,Open,185149,648239
